Ref,Val,Package,PosX,PosY,Rot,Side
"C32","12p","C_0805_2012Metric",178.200000,-79.425000,-90.000000,bottom
"C33","12p","C_0805_2012Metric",182.700000,-83.725000,180.000000,bottom
"C34","2u2","C_0805_2012Metric",159.450000,-97.075000,180.000000,bottom
"C39","2u2","C_0805_2012Metric",149.800000,-83.250000,90.000000,bottom
"C59","4.7u","C_0603_1608Metric",154.950000,-99.675000,0.000000,bottom
"C60","100n","C_0805_2012Metric",154.950000,-97.075000,0.000000,bottom
"C61","100n","C_0805_2012Metric",150.900000,-97.075000,180.000000,bottom
"C62","100n","C_0805_2012Metric",150.900000,-102.275000,180.000000,bottom
"C64","100n","C_0805_2012Metric",150.900000,-99.675000,180.000000,bottom
"C66","100n","C_0805_2012Metric",154.950000,-102.325000,0.000000,bottom
"C67","1u","C_0805_2012Metric",182.800000,-89.725000,-90.000000,bottom
"C68","100n","C_0805_2012Metric",141.300000,-87.100000,-90.000000,bottom
"C69","100n","C_0805_2012Metric",179.250000,-89.725000,-90.000000,bottom
"C70","100n","C_0805_2012Metric",200.400000,-72.450000,90.000000,bottom
"C71","100n","C_0805_2012Metric",160.950000,-63.000000,0.000000,bottom
"C72","100n","C_0805_2012Metric",155.700000,-116.050000,0.000000,bottom
"C73","100n","C_0805_2012Metric",201.650000,-66.300000,90.000000,bottom
"C74","100n","C_0805_2012Metric",145.650000,-56.750000,-90.000000,bottom
"C75","100n","C_0805_2012Metric",193.700000,-116.150000,-90.000000,bottom
"C76","100n","C_0805_2012Metric",203.600000,-97.800000,-90.000000,bottom
"CS1","100nF","C_0805_2012Metric",159.100000,-68.850000,0.000000,bottom
"CS2","100nF","C_0805_2012Metric",154.550000,-79.400000,-90.000000,bottom
"CS3","10uF","C_0805_2012Metric",183.650000,-66.700000,-90.000000,bottom
"CS4","10uF","C_0805_2012Metric",171.050000,-66.200000,180.000000,bottom
"D5","BLUE","LED_0805_2012Metric",194.337500,-101.075000,180.000000,bottom
"D7","SD103AWS","DIOM5336X250N",144.350000,-91.750000,0.000000,bottom
"D8","LED","LED_1206_3216Metric",187.900000,-69.050000,90.000000,bottom
"D9","LED","LED_1206_3216Metric",151.500000,-73.500000,-90.000000,bottom
"IC5","PCA9517ADP,118","SOP65P490X110-8N",170.100000,-102.975000,0.000000,bottom
"IC6","INA219AIDCNR","SOP65P280X145-8N",204.600000,-74.400000,0.000000,bottom
"IC7","INA219AIDCNR","SOP65P280X145-8N",160.862000,-59.825000,180.000000,bottom
"IC8","PCA9517ADP,118","SOP65P490X110-8N",198.600000,-88.800000,0.000000,bottom
"IC9","INA219AIDCNR","SOP65P280X145-8N",151.200000,-115.100000,180.000000,bottom
"IC10","INA219AIDCNR","SOP65P280X145-8N",205.162000,-68.375000,0.000000,bottom
"IC11","INA219AIDCNR","SOP65P280X145-8N",189.550000,-113.500000,180.000000,bottom
"IC12","INA219AIDCNR","SOP65P280X145-8N",199.950000,-95.800000,180.000000,bottom
"J12","U254-051T-4BHJ25-F2S","U254051T4BHJ25F2S",137.950000,-101.875000,90.000000,bottom
"PS1","LD39200DPUR","SON80P400X400X100-9N-D",178.400000,-65.600000,180.000000,bottom
"R32","1.5K","R_0805_2012Metric",194.437500,-105.475000,180.000000,bottom
"R33","47","R_0805_2012Metric",186.600000,-84.625000,90.000000,bottom
"R47","10K","R_0805_2012Metric",198.425000,-61.665000,0.000000,bottom
"R48","4.7K","R_0805_2012Metric",142.700000,-109.750000,0.000000,bottom
"R50","120","R_0805_2012Metric",208.125000,-55.065000,90.000000,bottom
"R52","240","R_0805_2012Metric",183.600000,-71.400000,-90.000000,bottom
"R55","560","R_1206_3216Metric",152.350000,-68.350000,180.000000,bottom
"R57","0K","R_0805_2012Metric",176.600000,-87.862500,90.000000,bottom
"R58","4.7K","R_0805_2012Metric",146.200000,-118.000000,90.000000,bottom
"R59","4.7k","R_0805_2012Metric",163.300000,-104.725000,0.000000,bottom
"R60","4.7k","R_0805_2012Metric",163.300000,-101.075000,0.000000,bottom
"R61","4.7k","R_0805_2012Metric",190.650000,-89.100000,0.000000,bottom
"R62","4.7k","R_0805_2012Metric",190.600000,-85.750000,0.000000,bottom
"R63","4.7k","R_0805_2012Metric",177.550000,-104.975000,180.000000,bottom
"R64","4.7k","R_0805_2012Metric",177.562500,-102.625000,180.000000,bottom
"R65","4.7k","R_0805_2012Metric",207.137500,-90.300000,180.000000,bottom
"R66","4.7k","R_0805_2012Metric",207.137500,-88.150000,180.000000,bottom
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",163.650000,-87.700000,180.000000,bottom
"U2","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",198.400000,-55.300000,0.000000,bottom
"U3","otter:CH330N","SOIC-8_3.9x4.9mm_P1.27mm",159.150000,-74.400000,180.000000,bottom
"U4","TMP100","SOT-23-6",150.128572,-55.450000,180.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",182.650000,-79.325000,0.000000,bottom
